CLAVE SITIO,NOMBRE DEL SITIO,FECHA REALIZACI‡N,A§o,TIPO CUERPO DE AGUA,CONDUC_CAMPO,pH_CAMPO,OD_mg/L,TEMP_AGUA,TURBIEDAD
DLZAC2591M1,CUAUHTEMOC,16/01/2013,2013,L‡TICO,829,"9,16",<1,"11,89",35
DLZAC2591M1,CUAUHTEMOC,19/03/2013,2013,L‡TICO,828,"8,13",1,"18,5",32
DLZAC2591M1,CUAUHTEMOC,07/05/2013,2013,L‡TICO,877,"7,84","1,11","18,6",20
DLZAC2591M1,CUAUHTEMOC,25/06/2013,2013,L‡TICO,597,"8,84","1,72","22,6",16
DLZAC2591M1,CUAUHTEMOC,15/08/2013,2013,L‡TICO,576,"7,41",1,"19,3",11
DLZAC2591M1,CUAUHTEMOC,18/09/2013,2013,L‡TICO,243,"6,8","4,52","18,3","62,5"
DLZAC2591M1,CUAUHTEMOC,16/10/2013,2013,L‡TICO,208,"7,75","3,41","21,1",18
DLZAC2591M1,CUAUHTEMOC,05/03/2014,2014,L‡TICO,728,"7,54",1,"14,7",35
DLZAC2591M1,CUAUHTEMOC,23/04/2014,2014,L‡TICO,722,"7,7","1,1","21,2",30
DLZAC2591M1,CUAUHTEMOC,03/06/2014,2014,L‡TICO,767,"7,9",1,20,17
DLZAC2591M1,CUAUHTEMOC,18/07/2014,2014,L‡TICO,801,"7,7",1,"20,2",18
DLZAC2591M1,CUAUHTEMOC,28/08/2014,2014,L‡TICO,385,"8,1",<1,"18,8",20
DLZAC2591M1,CUAUHTEMOC,07/10/2014,2014,L‡TICO,626,"8,1",1,"21,4",20
DLZAC2591M1,CUAUHTEMOC,04/03/2015,2015,L‡TICO,670,"7,6",1,"16,9",29
DLZAC2591M1,CUAUHTEMOC,30/04/2015,2015,L‡TICO,609,"8,3","1,3","20,8",25
DLZAC2591M1,CUAUHTEMOC,15/06/2015,2015,L‡TICO,683,"7,1",<1,"22,7",15
DLZAC2591M1,CUAUHTEMOC,15/07/2015,2015,L‡TICO,"188,8","8,1","6,16","23,6",20
DLZAC2591M1,CUAUHTEMOC,02/09/2015,2015,L‡TICO,450,"7,7",<1,"23,2",11
DLZAC2591M1,CUAUHTEMOC,05/10/2015,2015,L‡TICO,533,"7,8",<1,"22,3",18
DLZAC2591M1,CUAUHTEMOC,03/02/2016,2016,L‡TICO,543,"7,6",<1,"17,2",24
DLZAC2591M1,CUAUHTEMOC,10/03/2016,2016,L‡TICO,483,"7,8","1,19","12,3",21
DLZAC2591M1,CUAUHTEMOC,13/05/2016,2016,L‡TICO,640,"7,6",<1,"23,1",240
DLZAC2591M1,CUAUHTEMOC,03/07/2016,2016,L‡TICO,710,"7,6",<1,22,23
DLZAC2591M1,CUAUHTEMOC,02/09/2016,2016,L‡TICO,442,"7,6","1,47","22,7",18
DLZAC2591M1,CUAUHTEMOC,29/09/2016,2016,L‡TICO,631,"7,7",<1,"20,7",25
DLZAC2591M1,CUAUHTEMOC,07/02/2017,2017,L‡TICO,668,"7,7",<1,"15,8",33
DLZAC2591M1,CUAUHTEMOC,26/03/2017,2017,L‡TICO,720,8,"1,52","19,8",20
DLZAC2591M1,CUAUHTEMOC,10/05/2017,2017,L‡TICO,774,"8,2","7,33","22,6",14
DLZAC2591M1,CUAUHTEMOC,15/06/2017,2017,L‡TICO,800,8,"1,87","24,4","9,1"
DLZAC2591M1,CUAUHTEMOC,26/07/2017,2017,L‡TICO,345,"7,5","1,72",23,<2.5
DLZAC2591M1,CUAUHTEMOC,07/09/2017,2017,L‡TICO,,"8,1","7,77","17,9",130
DLZAC2591M1,CUAUHTEMOC,15/01/2018,2018,L‡TICO,646,"7,8","1,42","15,2",38
DLZAC2591M1,CUAUHTEMOC,26/02/2018,2018,L‡TICO,499,"7,3",<1,15,28
DLZAC2591M1,CUAUHTEMOC,10/04/2018,2018,L‡TICO,725,8,<1,"20,6",28
DLZAC2591M1,CUAUHTEMOC,08/06/2018,2018,L‡TICO,757,"7,8","6,84","22,5",15
DLZAC2591M1,CUAUHTEMOC,05/10/2018,2018,L‡TICO,402,"7,4","2,56",19,12
DLZAC2591M1,CUAUHTEMOC,15/11/2018,2018,L‡TICO,422,"7,6","1,32","13,9",11
DLZAC2591M1,CUAUHTEMOC,22/01/2019,2019,L‡TICO,405,"8,2","1,29","12,6",13
DLZAC2591M1,CUAUHTEMOC,08/08/2019,2019,L‡TICO,710,"7,9","2,9","22,5",15
DLZAC2591M1,CUAUHTEMOC,04/08/2020,2020,L‡TICO,671,"7,9","1,06","24,6",29
DLZAC2591M1,CUAUHTEMOC,26/04/2023,2023,L‡TICO,,7,"6,19",19,
DLZAC2591M1,CUAUHTEMOC,10/04/2024,2024,L‡TICO,962,8,"0,35",19,"30,03"
